cyrillic,menksoft,unicode,latin
буяндэлгэр,,ᠪᠤᠶᠠᠨᠳᠡᠯᠭᠡᠷ,bvyandelger
буяндэмбэрэл,,ᠪᠤᠶᠠᠨᠳᠡᠮᠪᠡᠷᠢᠯ,bvyandemberil
буянжав,,ᠪᠤᠶᠠᠨᠵᠠᠪ,bvyanjab
буянжаргал,,ᠪᠤᠶᠠᠨᠵᠢᠷᠭᠠᠯ,bvyanjirgal
буянжаргалан,,ᠪᠤᠶᠠᠨᠵᠢᠷᠭᠠᠯᠠᠩ,bvyanjirgalaN
буянзаяа,,ᠪᠤᠶᠠᠨᠵᠠᠶᠠᠭ᠎ᠠ,bvyanjayag-a
буянзул,,ᠪᠤᠶᠠᠨᠵᠤᠯᠠ,bvyanjvla
буянмөнх,,ᠪᠤᠶᠠᠨᠮᠥᠩᠬᠡ,bvyanmoNhe
буяннасан,,ᠪᠤᠶᠠᠨᠨᠠᠰᠤᠨ,bvyannasvn
буяннаст,,ᠪᠤᠶᠠᠨᠨᠠᠰᠤᠲᠤ,bvyannasvtv
буяннэмэх,,ᠪᠤᠶᠠᠨᠨᠡᠮᠡᠬᠦ,bvyannemehu
буянсайхан,,ᠪᠤᠶᠠᠨᠰᠠᠢᠬᠠᠨ,bvyansaihan
буянсэцэн,,ᠪᠤᠶᠠᠨᠰᠡᠴᠡᠨ,bvyansecen
буянсүрэн,,ᠪᠤᠶᠠᠨᠰᠦ᠋ᠷᠦᠩ,bvyansu1ruN
буянт,,ᠪᠤᠶᠠᠨᠲᠤ,bvyantv
буянтамир,,ᠪᠤᠶᠠᠨᠲᠠᠮᠢᠷ,bvyantamir
буянтогоо,,ᠪᠤᠶᠠᠨᠲᠣᠭᠤᠭ᠎ᠠ,bvyantqgvg-a
буянтогтох,,ᠪᠤᠶᠠᠨᠲᠣᠭᠲᠠᠬᠤ,bvyantqgtahv
буянтөгс,,ᠪᠤᠶᠠᠨᠲᠡᠭᠦᠰ,bvyantegus
буянтөгөлдөр,,ᠪᠤᠶᠠᠨᠲᠡᠭᠦᠯᠳᠡᠷ,bvyantegulder
буянт‐ухаа,,ᠪᠤᠶᠠᠨᠲᠤᠬᠤᠸᠠ,bvyantvhvwa
буянхишиг,,ᠪᠤᠶᠠᠨᠬᠡᠰᠢᠭ,bvyanhesig
буянцог,,ᠪᠤᠶᠠᠨᠴᠣᠭ,bvyancqg
буянцогт,,ᠪᠤᠶᠠᠨᠴᠣᠭᠲᠤ,bvyancqgtv
буянцэцэг,,ᠪᠤᠶᠠᠨᠴᠡᠴᠡᠭ,bvyanceceg
буянчимэг,,ᠪᠤᠶᠠᠨᠴᠢᠮᠡᠭ,bvyancimeg
буянчулуун,,ᠪᠤᠶᠠᠨᠴᠢᠯᠠᠭᠤᠨ,bvyancilagvn
буян‐арвижих, ,ᠪᠤᠶᠠᠨ ᠠᠷᠪᠢᠵᠢᠬᠤ,bvyan arbijihv
буян‐ундрах, ,ᠪᠤᠶᠠᠨ ᠤᠨᠳᠤᠷᠬᠤ,bvyan vndvrhv
буян‐өлзий, ,ᠪᠤᠶᠠᠨ ᠥᠯᠵᠡᠢ,bvyan oljei
бэгз,,ᠪᠡᠭᠵᠡ,begje
бэгзжав,,ᠪᠡᠭᠵᠡᠵᠠᠪ,begjejab
бэгзмаа,,ᠪᠡᠭᠵᠡᠮ᠎ᠠ,begjem-a
бэгзсүрэн,,ᠪᠡᠭᠵᠡᠰᠦ᠋ᠷᠦᠩ,begjesu1ruN
бэгзхүү,,ᠪᠡᠭᠵᠡᠬᠦᠦ,begjehuu
бэгзэд,,ᠪᠡᠭᠵᠡᠳ,begjed
бэгзээ,,ᠪᠡᠭᠵᠡ,begje
бэйлбаатар,,ᠪᠡᠢᠯᠡᠪᠠᠭᠠᠲᠤᠷ,beilebagatvr
бэл,,ᠪᠡᠯ,bel
бэлгэ,,ᠪᠡᠯᠭᠡ,belge
бэлгэдэлгэр,,ᠪᠡᠯᠭᠡᠳᠡᠯᠭᠡᠷ,belgedelger
бэлгэдэмбэрэл,,ᠪᠡᠯᠭᠡᠳᠡᠮᠪᠡᠷᠢᠯ,belgedemberil
бэлгэжаргал,,ᠪᠡᠯᠭᠡᠵᠢᠷᠭᠠᠯ,belgejirgal
бэлгэмаа,,ᠪᠡᠯᠭᠡᠮ᠎ᠠ,belgem-a
бэлгэт,,ᠪᠡᠯᠭᠡᠲᠦ,belgetu
бэлгэтхүү,,ᠪᠡᠯᠭᠡᠲᠦᠬᠦᠦ,belgetuhuu
бэлгүдэй,,ᠪᠡᠯᠭᠦᠳᠡᠢ,belgudei
бэлгүнүтэй,,ᠪᠡᠯᠭᠦᠨᠦᠲᠡᠢ,belgunutei
бэлгүтэй,,ᠪᠡᠯᠭᠦᠲᠡᠢ,belgutei
бэлгүүдэй,,ᠪᠡᠯᠭᠦᠳᠡᠢ,belgudei
бэлгүүндалай,,ᠪᠢᠯᠢᠭᠦᠨᠳᠠᠯᠠᠢ,biligundalai
бэлгүүтэй,,ᠪᠡᠯᠭᠦᠲᠡᠢ,belgutei
бэлх,,ᠪᠡᠯᠬᠡ,belhe
бэлэг,,ᠪᠡᠯᠡᠭ,beleg
бэлэгдэмбэрэл,,ᠪᠡᠯᠭᠡᠳᠡᠮᠪᠡᠷᠢᠯ,belgedemberil
бэлэгцэцэг,,ᠪᠡᠯᠡᠭᠴᠡᠴᠡᠭ,belegceceg
бэлэн,,ᠪᠡᠯᠡᠨ,belen
бэлэндалай,,ᠪᠡᠯᠡᠨᠳᠠᠯᠠᠢ,belendalai
бэндэръяа,,ᠪᠢᠨᠳᠦᠷᠢᠶ᠎ᠠ,binduriy-a
бэрс,,ᠪᠡᠷᠰᠡ,berse
бэрх,,ᠪᠡᠷᠬᠡ,berhe
бэрхбаатар,,ᠪᠡᠷᠬᠡᠪᠠᠭᠠᠲᠤᠷ,berhebagatvr
бэрхболд,,ᠪᠡᠷᠬᠡᠪᠣᠯᠣᠳ,berhebqlqd
бэрхсайхан,,ᠪᠡᠷᠬᠡᠰᠠᠢᠬᠠᠨ,berhesaihan
бэрхцэцэг,,ᠪᠡᠷᠬᠡᠴᠡᠴᠡᠭ,berhececeg
бэрхшагай,,ᠪᠡᠷᠬᠡᠱᠠᠭ᠎ᠠ,berhexag-a
бэрцэцэг,,ᠪᠡᠷᠢᠴᠡᠴᠡᠭ,bericeceg
бэсүдэй,,ᠪᠡᠰᠦᠳᠡᠢ,besudei
бэх,,ᠪᠡᠬᠢ,behi
бэхбаатар,,ᠪᠡᠬᠢᠪᠠᠭᠠᠲᠤᠷ,behibagatvr
бэхбат,,ᠪᠡᠬᠢᠪᠠᠲᠤ,behibatv
бэхбаяр,,ᠪᠠᠬᠢᠪᠠᠶᠠᠷ,bahibayar
бэхбилиг,,ᠪᠡᠬᠢᠪᠢᠯᠢᠭ,behibilig
бэхбилэг,,ᠪᠡᠬᠢᠪᠢᠯᠢᠭ,behibilig
бэхболд,,ᠪᠡᠬᠢᠪᠣᠯᠣᠳ,behibqlqd
бэхдорж,,ᠪᠡᠬᠢᠳᠣᠷᠵᠢ,behidqrji
бэхжав,,ᠪᠡᠬᠢᠵᠠᠪ,behijab
бэхжаргал,,ᠪᠡᠬᠢᠵᠢᠷᠭᠠᠯ,behijirgal
бэхжих,,ᠪᠡᠬᠢᠵᠢᠬᠦ,behijihu
бэхжихбаяр,,ᠪᠡᠬᠢᠵᠢᠬᠦᠪᠠᠶᠠᠷ,behijihubayar
бэхи,,ᠪᠡᠬᠢ,behi
бэхмөнх,,ᠪᠡᠬᠢᠮᠥᠩᠬᠡ,behimoNhe
бэхсүрэн,,ᠪᠡᠬᠢᠰᠦ᠋ᠷᠦᠩ,behisu1ruN
бэхтогтох,,ᠪᠡᠬᠢᠲᠣᠭᠲᠠᠬᠤ,behitqgtahv
бэхтулга,,ᠪᠡᠬᠢᠲᠤᠯᠭ᠎ᠠ,behitvlg-a
бэхтөмөр,,ᠪᠡᠬᠢᠲᠡᠮᠦᠷ,behitemur
бэхтөр,,ᠪᠡᠬᠢᠲᠥᠷᠦ,behitoru
бэхчулуун,,ᠪᠡᠬᠢᠴᠢᠯᠠᠭᠤᠨ,behicilagvn
бэх‐очир,,ᠪᠡᠬᠢᠸᠴᠢᠷ,behiwcir
бээжин,,ᠪᠡᠭᠡᠵᠢᠩ,begejiN
бээсүрэн,,ᠪᠡᠰᠦ᠋ᠷᠦᠩ,besu1ruN
бямба,,ᠪᠢᠮᠪᠠ,bimba
бямбаа,,ᠪᠢᠮᠪᠠ,bimba
бямбаахүү,,ᠪᠢᠮᠪᠠᠬᠦᠦ,bimbahuu
бямбагэрэл,,ᠪᠢᠮᠪᠠᠭᠡᠷᠡᠯ,bimbagerel
бямбадаваа,,ᠪᠢᠮᠪᠠᠳᠠᠸᠠ,bimbadawa
бямбадалай,,ᠪᠢᠮᠪᠠᠳᠠᠯᠠᠢ,bimbadalai
бямбадолгор,,ᠪᠢᠮᠪᠠᠳᠣᠯᠭᠠᠷ,bimbadqlgar
бямбадорж,,ᠪᠢᠮᠪᠠᠳᠣᠷᠵᠢ,bimbadqrji
бямбадулам,,ᠪᠢᠮᠪᠠᠳᠤᠯᠮ᠎ᠠ,bimbadvlm-a
бямбадэлгэр,,ᠪᠢᠮᠪᠠᠳᠡᠯᠭᠡᠷ,bimbadelger
бямбажав,,ᠪᠢᠮᠪᠠᠵᠠᠪ,bimbajab
бямбажаргал,,ᠪᠢᠮᠪᠠᠵᠢᠷᠭᠠᠯ,bimbajirgal
бямбазул,,ᠪᠢᠮᠪᠠᠵᠤᠯᠠ,bimbajvla
бямбасайхан,,ᠪᠢᠮᠪᠠᠰᠠᠢᠬᠠᠨ,bimbasaihan
бямбасан,,ᠪᠢᠮᠪᠠᠰᠠᠩ,bimbasaN
бямбасүрэн,,ᠪᠢᠮᠪᠠᠰᠦ᠋ᠷᠦᠩ,bimbasu1ruN
бямбасүх,,ᠪᠢᠮᠪᠠᠰᠦ᠋ᠬᠡ,bimbasu1he
бямбатогоо,,ᠪᠢᠮᠪᠠᠲᠣᠭᠤᠭ᠎ᠠ,bimbatqgvg-a
бямбатогтох,,ᠪᠢᠮᠪᠠᠲᠣᠭᠲᠠᠬᠤ,bimbatqgtahv
бямбатулга,,ᠪᠢᠮᠪᠠᠲᠤᠯᠭ᠎ᠠ,bimbatvlg-a
бямбатуул,,ᠪᠢᠮᠪᠠᠲᠤᠤᠯᠠ,bimbatvvla
бямбатүвшин,,ᠪᠢᠮᠪᠠᠲᠦ᠋ᠪᠰᠢᠨ,bimbatu1bsin
бямбатүшиг,,ᠪᠢᠮᠪᠠᠲᠦ᠋ᠰᠢᠭ,bimbatu1sig
бямбатөгс,,ᠪᠢᠮᠪᠠᠲᠡᠭᠦᠰ,bimbategus
бямбаханд,,ᠪᠢᠮᠪᠠᠬᠠᠩᠳᠤ,bimbahaNdv
бямбахатан,,ᠪᠢᠮᠪᠠᠬᠠᠲᠤᠨ,bimbahatvn
бямбахишиг,,ᠪᠢᠮᠪᠠᠬᠡᠰᠢᠭ,bimbahesig
бямбахорлоо,,ᠪᠢᠮᠪᠠᠬᠣᠷᠯᠣ,bimbahqrlq
бямбахорол,,ᠪᠢᠮᠪᠠᠬᠣᠷᠯᠣ,bimbahqrlq
бямбахуяг,,ᠪᠢᠮᠪᠠᠬᠤᠶᠠᠭ,bimbahvyag
бямбахүү,,ᠪᠢᠮᠪᠠᠬᠦᠦ,bimbahuu
бямбацог,,ᠪᠢᠮᠪᠠᠴᠣᠭ,bimbacqg
бямбацогт,,ᠪᠢᠮᠪᠠᠴᠣᠭᠲᠤ,bimbacqgtv
бямбацоо,,ᠪᠢᠮᠪᠠᠴᠣ,bimbacq
бямбацоодол,,ᠪᠢᠮᠪᠠᠴᠣᠣᠳᠠᠯ,bimbacqqdal
бямбацоож,,ᠪᠢᠮᠪᠠᠴᠣᠣᠵᠢ,bimbacqqji
бямбацэдэн,,ᠪᠢᠮᠪᠠᠴᠡᠳᠡᠨ,bimbaceden
бямбацэнд,,ᠪᠢᠮᠪᠠᠴᠡᠩᠳᠦ,bimbaceNdu
бямбацэрэн,,ᠪᠢᠮᠪᠠᠴᠡᠷᠢᠩ,bimbaceriN
бямбацэцэг,,ᠪᠢᠮᠪᠠᠴᠡᠴᠡᠭ,bimbaceceg
бямбачулуун,,ᠪᠢᠮᠪᠠᠴᠢᠯᠠᠭᠤᠨ,bimbacilagvn
бямба‐уянга, ,ᠪᠢᠮᠪᠠ ᠤᠶᠠᠩᠭ᠎ᠠ,bimba vyaNg-a
бямбын, ,ᠪᠢᠮᠪᠠ ᠶᠢᠨ,bimba_yin
бяруузана,,ᠪᠢᠷᠤᠵᠠᠨ᠎ᠠ,birvjan-a
бяхар,,ᠪᠢᠬᠠᠷ,bihar
бяцхан,,ᠪᠢᠴᠢᠬᠠᠨ,bicihan
бяцханхүү,,ᠪᠢᠴᠢᠬᠠᠨᠬᠦᠦ,bicihanhuu
бүгд,,ᠪᠦᠭᠦᠳᠡ,bugude
бүд,,ᠪᠦᠳ,bud
бүддорж,,ᠪᠦᠳᠳᠣᠷᠵᠢ,buddqrji
бүджав,,ᠪᠦᠳᠵᠠᠪ,budjab
бүдрагчаа,,ᠪᠦᠳᠷᠠᠭᠴᠠ,budragca
бүдсүрэн,,ᠪᠦᠳᠰᠦ᠋ᠷᠦᠩ,budsu1ruN
бүдханд,,ᠪᠦᠳᠬᠠᠩᠳᠤ,budhaNdv
бүдшир,,ᠪᠦᠳᠰᠢᠷᠢ,budsiri
бүжид,,ᠪᠦᠵᠢᠳ,bujid
бүжидлхам,,ᠪᠦᠵᠢᠳᡀᠠᠮᠤ,bujidLamv
бүжидмаа,,ᠪᠦᠵᠢᠳᠮ᠎ᠠ,bujidm-a
бүжий,,ᠪᠦᠵᠢ,buji
бүжиймаа,,ᠪᠦᠵᠢᠮ᠎ᠠ,bujim-a
бүжил,,ᠪᠦᠵᠢᠯ,bujil
бүжин,,ᠪᠦᠵᠦᠩ,bujuN
бүжинлхам,,ᠪᠦᠵᠢᠨᡀᠠᠮᠤ,bujinLamv
бүжинханд,,ᠪᠦᠵᠢᠨᠬᠠᠨᠳᠤ,bujinhandv
бүжинхорлоо,,ᠪᠦᠵᠢᠨᠬᠣᠷᠯᠣ,bujinhqrlq
бүжинхорол,,ᠪᠦᠵᠢᠨᠬᠣᠷᠯᠣ,bujinhqrlq
бүжлхам,,ᠪᠦᠵᠢᡀᠠᠮᠤ,bujiLamv
бүжмаа,,ᠪᠦᠵᠢᠮ᠎ᠠ,bujim-a
бүжсүрэн,,ᠪᠦᠵᠢᠰᠦ᠋ᠷᠦᠩ,bujisu1ruN
бүжханд,,ᠪᠦᠵᠢᠬᠠᠩᠳᠤ,bujihaNdv
бүл,,ᠪᠦᠯᠢ,buli
бүлтэн,,ᠪᠦᠯᠲᠡᠩ,bulteN
бүлтүүш,,ᠪᠦᠯᠲᠦᠭᠦᠰᠢ,bultugusi
бүлэг,,ᠪᠦᠯᠦᠭ,bulug
бүлэгт, ,ᠪᠦᠯᠦᠭ ᠲᠦ,bulug tu
бүнчин,,ᠪᠦᠩᠴᠦᠩ,buNcuN
бүнчмаа,,ᠪᠦᠩᠴᠦᠮ᠎ᠠ,buNcum-a
бүр,,ᠪᠦᠷᠢ,buri
бүргэд,,ᠪᠦᠷᠭᠦᠳ,burgud
бүргэдбаатар,,ᠪᠦᠷᠭᠦᠳᠪᠠᠭᠠᠲᠤᠷ,burgudbagatvr
бүргэдэй,,ᠪᠦᠷᠭᠦᠳᠡᠢ,burgudei
бүри,,ᠪᠦᠷᠢ,buri
бүрибөх,,ᠪᠦᠷᠢᠪᠥᠬᠡ,buribohe
бүрнээ,,ᠪᠦᠷᠢᠨ᠎ᠡ,burin-e
бүрнээбаяр,,ᠪᠦᠷᠢᠨᠪᠠᠶᠠᠷ,burinbayar
бүрнээхүү,,ᠪᠦᠷᠢᠨᠬᠦᠦ,burinhuu
бүртгэл,,ᠪᠦᠷᠢᠳᠭᠡᠯ,buridgel
бүртгэлжин,,ᠪᠦᠷᠲᠡᠭᠡᠯᠵᠢᠨ,burtegeljin
бүрэнбаатар,,ᠪᠦᠷᠢᠨᠪᠠᠭᠠᠲᠤᠷ,burinbagatvr
бүрэнбадрах,,ᠪᠦᠷᠢᠨᠪᠠᠳᠠᠷᠠᠬᠤ,burinbadarahv
бүрэнбат,,ᠪᠦᠷᠢᠨᠪᠠᠲᠤ,burinbatv
бүрэнбаяр,,ᠪᠦᠷᠢᠨᠪᠠᠶᠠᠷ,burinbayar
бүрэнбаясах,,ᠪᠦᠷᠢᠨᠪᠠᠶᠠᠰᠬᠤ,burinbayashv
бүрэнбилиг,,ᠪᠦᠷᠢᠨᠪᠢᠯᠢᠭ,burinbilig
бүрэнбилэг,,ᠪᠦᠷᠢᠨᠪᠢᠯᠢᠭ,burinbilig
бүрэнгэрэл,,ᠪᠦᠷᠢᠨᠭᠡᠷᠡᠯ,buringerel
бүрэндолгор,,ᠪᠦᠷᠢᠨᠳᠣᠯᠭᠠᠷ,burindqlgar
бүрэндорж,,ᠪᠦᠷᠢᠨᠳᠣᠷᠵᠢ,burindqrji
бүрэндэлгэр,,ᠪᠦᠷᠢᠨᠳᠡᠯᠭᠡᠷ,burindelger
бүрэндүүрэн,,ᠪᠦᠷᠢᠨᠳᠦ᠋ᠭᠦᠷᠡᠩ,burindu1gureN
бүрэнжаргал,,ᠪᠦᠷᠢᠨᠵᠢᠷᠭᠠᠯ,burinjirgal
бүрэнзаяа,,ᠪᠦᠷᠢᠨᠵᠠᠶᠠᠭ᠎ᠠ,burinjayag-a
бүрэнсайхан,,ᠪᠦᠷᠢᠨᠰᠠᠢᠬᠠᠨ,burinsaihan
бүрэнсүрэн,,ᠪᠦᠷᠢᠨᠰᠦ᠋ᠷᠦᠩ,burinsu1ruN
бүрэнтогтох,,ᠪᠦᠷᠢᠨᠲᠣᠭᠲᠠᠬᠤ,burintqgtahv
бүрэнтэгш,,ᠪᠦᠷᠢᠨᠲᠡᠭᠰᠢ,burintegsi
бүрэнтөгс,,ᠪᠦᠷᠢᠨᠲᠡᠭᠦᠰ,burintegus
бүрэнхангай,,ᠪᠦᠷᠢᠨᠬᠠᠩᠭᠠᠢ,burinhaNgai
бүрэнцогт,,ᠪᠦᠷᠢᠨᠴᠣᠭᠲᠤ,burincqgtv
бүрэнцэцэг,,ᠪᠦᠷᠢᠨᠴᠡᠴᠡᠭ,burinceceg
бүрэнчимэг,,ᠪᠦᠷᠢᠨᠴᠢᠮᠡᠭ,burincimeg
бүрэнчулуун,,ᠪᠦᠷᠢᠨᠴᠢᠯᠠᠭᠤᠨ,burincilagvn
бүтсэн,,ᠪᠦᠲᠦᠭᠰᠡᠨ,butugsen
бүтэд,,ᠪᠦᠲᠢᠳ,butid
бүтэмж,,ᠪᠦᠲᠦᠮᠵᠢ,butumji
бүтэнбаяр,,ᠪᠦᠲᠦᠨᠪᠠᠶᠠᠷ,butunbayar
бүтэнбилиг,,ᠪᠦᠲᠦᠨᠪᠢᠯᠢᠭ,butunbilig
бүтэнбилэг,,ᠪᠦᠲᠦᠨᠪᠢᠯᠢᠭ,butunbilig
бүтээл,,ᠪᠦᠲᠦᠭᠡᠯ,butugel
бүтээмж,,ᠪᠦᠲᠦᠭᠡᠮᠵᠢ,butugemji
бүх,,ᠪᠦᠬᠦ,buhu
бүү,,ᠪᠤᠤ,bvv
бүүвэй,,ᠪᠦᠪᠡᠢ,bubei
бүүвэйбаатар,,ᠪᠦᠪᠡᠢᠪᠠᠭᠠᠲᠤᠷ,bubeibagatvr
бүүвэйхүү,,ᠪᠦᠪᠡᠢᠬᠦᠦ,bubeihuu
бөмбөг,,ᠪᠦᠮᠪᠦᠭᠡ,bumbuge
бөмбөө,,ᠪᠥᠮᠪᠥᠭᠡ,bomboge
бөмбөөлэй,,ᠪᠥᠮᠪᠥᠭᠡᠯᠡᠢ,bombogelei
бөртгөлжин,,ᠪᠥᠷᠲᠡᠭᠡᠯᠵᠢᠨ,bortegeljin
бөртэ,,ᠪᠥᠷᠲᠡ,borte
бөртэгэлжин,,ᠪᠥᠷᠲᠡᠭᠡᠯᠵᠢᠨ,bortegeljin
бөртэ‐үжин, ,ᠪᠥᠷᠲᠡ ᠦᠵᠢᠨ,borte ujin
бөх,,ᠪᠦᠬᠡ,buhe
бөхбаатар,,ᠪᠥᠬᠡᠪᠠᠭᠠᠲᠤᠷ,bohebagatvr
бөхбагана,,ᠪᠥᠬᠡᠪᠠᠭᠠᠨ᠎ᠠ,bohebagan-a
бөхбат,,ᠪᠥᠬᠡᠪᠠᠲᠤ,bohebatv
бөхбаяр,,ᠪᠥᠬᠡᠪᠠᠶᠠᠷ,bohebayar
бөхбилигт,,ᠪᠥᠬᠡᠪᠢᠯᠢᠭᠲᠦ,bohebiligtu
бөхбилэгт,,ᠪᠥᠬᠡᠪᠢᠯᠢᠭᠲᠦ,bohebiligtu
бөхболд,,ᠪᠥᠬᠡᠪᠣᠯᠣᠳ,bohebqlqd
бөхгал,,ᠪᠥᠬᠡᠭᠠᠯ,bohegal
бөхгэрэл,,ᠪᠥᠬᠡᠭᠡᠷᠡᠯ,bohegerel
бөхжаргал,,ᠪᠥᠬᠡᠵᠢᠷᠭᠠᠯ,bohejirgal
бөхзаяа,,ᠪᠥᠬᠡᠵᠠᠶᠠᠭ᠎ᠠ,bohejayag-a
бөхмөрөн,,ᠪᠥᠬᠡᠮᠥᠷᠡᠨ,bohemoren
бөхням,,ᠪᠥᠬᠡᠨᠢᠮ᠎ᠠ,bohenim-a
бөхсайхан,,ᠪᠥᠬᠡᠰᠠᠢᠬᠠᠨ,bohesaihan
бөхсүрэн,,ᠪᠥᠬᠡᠰᠦ᠋ᠷᠦᠩ,bohesu1ruN
бөхтогтох,,ᠪᠥᠬᠡᠲᠣᠭᠲᠠᠬᠤ,bohetqgtahv
бөхтулга,,ᠪᠥᠬᠡᠲᠤᠯᠭ᠎ᠠ,bohetvlg-a
бөхтэгш,,ᠪᠥᠬᠡᠲᠡᠭᠰᠢ,bohetegsi
бөхтөмөр,,ᠪᠥᠬᠡᠲᠡᠮᠦᠷ,bohetemur
бөххуяг,,ᠪᠥᠬᠡᠬᠤᠶᠠᠭ,bohehvyag
бөхчулуун,,ᠪᠥᠬᠡᠴᠢᠯᠠᠭᠤᠨ,bohecilagvn
бөхшагай,,ᠪᠥᠬᠡᠱᠠᠭ᠎ᠠ,bohexag-a
бөхшар,,ᠪᠥᠬᠡᠰᠢᠷ᠎ᠠ,bohesir-a
бөхшир,,ᠪᠥᠬᠡᠰᠢᠷᠢ,bohesiri
бөхөн,,ᠪᠥᠬᠡᠩ,boheN
бөхөндэй,,ᠪᠥᠬᠡᠩᠳᠡᠢ,boheNdei
бөхөө,,ᠪᠥᠬᠡ,bohe
бөх‐амгалан, ,ᠪᠥᠬᠡ ᠠᠮᠤᠭᠤᠯᠠᠩ,bohe amvgvlaN
бөх‐очир,,ᠪᠥᠬᠡᠸᠴᠢᠷ,bohewcir
бөх‐эрдэнэ, ,ᠪᠥᠬᠡ ᠡᠷᠳᠡᠨᠢ,bohe erdeni
бөөн,,ᠪᠦᠭᠡᠨ,bugen
бөөхүү,,ᠪᠥᠬᠡᠬᠦᠦ,bohehuu
ваандан,,ᠸᠠᠩᠳᠠᠨ,waNdan
ваандуй,,ᠸᠠᠩᠳᠤᠢ,waNdvi
ваанжил,,ᠸᠠᠩᠵᠢᠯ,waNjil
ваанчиг,,ᠸᠠᠩᠴᠤᠭ,waNcvg
ваанчигсүрэн,,ᠸᠠᠩᠴᠤᠭ᠍ᠰᠦ᠋ᠷᠦᠩ,waNcvg3su1ruN
ваанчин,,ᠸᠠᠩᠴᠢᠨ,waNcin
ваанчинсүрэн,,ᠸᠠᠩᠴᠢᠨᠰᠦ᠋ᠷᠦᠩ,waNcinsu1ruN
ваань,,ᠸᠠᠨᠢ,wani
вааньжав,,ᠸᠠᠨᠢᠵᠠᠪ,wanijab
вааньхүү,,ᠸᠠᠨᠢᠬᠦᠦ,wanihuu
валя,,ᠸᠠᠯᠢᠶ᠎ᠠ,waliy-a
валясүрэн,,ᠸᠠᠯᠢᠶᠠᠰᠦ᠋ᠷᠦᠩ,waliyasu1ruN
валяхүү,,ᠸᠠᠯᠢᠶᠠᠬᠦᠦ,waliyahuu
ван,,ᠸᠠᠩ,waN
ванган,,ᠸᠠᠩᠭᠤᠨ,waNgvn
вандаг,,ᠸᠠᠩᠳᠠᠭ,waNdag
вандан,,ᠸᠠᠩᠳᠠᠨ,waNdan
вандандаш,,ᠸᠠᠩᠳᠠᠨᠳᠠᠰᠢ,waNdandasi
вандандоо,,ᠸᠠᠩᠳᠠᠨᠳᠣᠣ,waNdandqq
вандандулам,,ᠸᠠᠩᠳᠠᠨᠳᠤᠯᠮ᠎ᠠ,waNdandvlm-a
ванданжамц,,ᠸᠠᠩᠳᠠᠨᠵᠠᠮᠴᠤ,waNdanjamcv
ванданням,,ᠸᠠᠩᠳᠠᠨᠨᠢᠮ᠎ᠠ,waNdannim-a
вандансамбуу,,ᠸᠠᠩᠳᠠᠨᠰᠠᠮᠪᠤᠤ,waNdansambvv
ванданхорол,,ᠸᠠᠩᠳᠠᠨᠬᠣᠷᠯᠣ,waNdanhqrlq
ванданхүү,,ᠸᠠᠩᠳᠠᠨᠬᠦᠦ,waNdanhuu
ванжид,,ᠸᠠᠩᠵᠢᠳ,waNjid
ванжил,,ᠸᠠᠩᠵᠢᠯ,waNjil
ванжилдорж,,ᠸᠠᠩᠵᠢᠯᠳᠣᠷᠵᠢ,waNjildqrji
вансэмбэрүү,,ᠸᠠᠩᠰᠡᠮᠪᠡᠷᠦ,waNsemberu
вантөмөр,,ᠸᠠᠩᠲᠡᠮᠦᠷ,waNtemur
ванхаан,,ᠸᠠᠩᠬᠠᠭᠠᠨ,waNhagan
ванхүү,,ᠸᠠᠩᠬᠦᠦ,waNhuu
ванчиг,,ᠸᠠᠩᠴᠤᠭ,waNcvg
ванчигдаш,,ᠸᠠᠩᠴᠤᠭᠳᠠᠰᠢ,waNcvgdasi
ванчинбазар,,ᠸᠠᠩᠴᠢᠨᠪᠠᠵᠠᠷ,waNcinbajar
ванчинбал,,ᠸᠠᠩᠴᠢᠨᠪᠠᠯ,waNcinbal
ванчиндорж,,ᠸᠠᠩᠴᠢᠨᠳᠣᠷᠵᠢ,waNcindqrji
ванчинжав,,ᠸᠠᠩᠴᠢᠨᠵᠠᠪ,waNcinjab
ванчинноров,,ᠸᠠᠩᠴᠢᠨᠨᠣᠷᠪᠣ,waNcinnqrbq
ванчинсүрэн,,ᠸᠠᠩᠴᠢᠨᠰᠦ᠋ᠷᠦᠩ,waNcinsu1ruN
ванчинчанрав,,ᠸᠠᠩᠴᠢᠨᠴᠢᠨᠷᠠᠪ,waNcincinrab
ванчин‐эрдэнэ, ,ᠸᠠᠩᠴᠢᠨ ᠡᠷᠳᠡᠨᠢ,waNcin erdeni
ванчүг,,ᠪᠠᠩᠴᠤᠭ,baNcvg
ванширнэн,,ᠸᠠᠩᠰᠢᠷᠨᠢᠩ,waNsirniN
ваня,,ᠸᠠᠨᠢᠶ᠎ᠠ,waniy-a
вася,,ᠸᠠᠰᠢ᠎ᠠ,wasi-a
вера,,ᠸᠧᠷᠠ,wᠧra
вероника,,ᠸᠧᠷᠥᠨᠢᠺᠠ,wᠧronika
виктория,,ᠸᠢᠺᠲ᠋ᠣᠷᠢᠶ᠎ᠠ,wikt1qriy-a
владимир,,ᠸᠯᠠᠳᠢᠮᠢᠷ,wladimir
володя,,ᠸᠣᠯᠣᠳᠢᠶ᠎ᠠ,wqlqdiy-a
вэ,,ᠪᠤᠢ,bvi
