cyrillic,menksoft,unicode,latin
агваанванчиг,,ᠠᠭᠸᠠᠩᠸᠠᠩᠴᠤᠭ,agwaNwaNcvg
агваангомбо,,ᠠᠭᠸᠠᠩᠭᠣᠮᠪᠤ,agwaNgqmbv
агваангончиг,,ᠠᠭᠸᠠᠩᠭᠣᠨᠴᠤᠭ,agwaNgqncvg
агваандамба,,ᠠᠭᠸᠠᠩᠳᠠᠮᠪᠠ,agwaNdamba
агваандамбий,,ᠠᠭᠸᠠᠩᠳᠠᠮᠪᠢ,agwaNdambi
агваандамдин,,ᠠᠭᠸᠠᠩᠳᠠᠮᠳᠢᠨ,agwaNdamdin
агваандандар,,ᠠᠭᠸᠠᠩᠳᠠᠨᠳᠠᠷ,agwaNdandar
агваандаржаа,,ᠠᠭᠸᠠᠩᠳᠠᠷᠵᠠᠢ,agwaNdarjai
агваандаш,,ᠠᠭᠸᠠᠩᠳᠠᠰᠢ,agwaNdasi
агваандолгор,,ᠠᠭᠸᠠᠩᠳᠣᠯᠭᠠᠷ,agwaNdqlgar
агваандондов,,ᠠᠭᠸᠠᠩᠳᠣᠨᠳᠣᠪ,agwaNdqndqb
агваандондог,,ᠠᠭᠸᠠᠩᠳᠣᠨᠳᠣᠭ,agwaNdqndqg
агваандорж,,ᠠᠭᠸᠠᠩᠳᠣᠷᠵᠢ,agwaNdqrji
агваандугар,,ᠠᠭᠸᠠᠩᠳᠤᠭᠠᠷ,agwaNdvgar
агваандулам,,ᠠᠭᠸᠠᠩᠳᠤᠯᠮ᠎ᠠ,agwaNdvlm-a
агваандэмбэрэл,,ᠠᠭᠸᠠᠩᠳᠡᠮᠪᠡᠷᠢᠯ,agwaNdemberil
агваанжав,,ᠠᠭᠸᠠᠩᠵᠠᠪ,agwaNjab
агваансамбуу,,ᠠᠭᠸᠠᠩᠰᠠᠮᠪᠤᠤ,agwaNsambvv
агваансамдан,,ᠠᠭᠸᠠᠩᠰᠠᠮᠳᠠᠨ,agwaNsamdan
агваансүрэн,,ᠠᠭᠸᠠᠩᠰᠦ᠋ᠷᠦᠩ,agwaNsu1ruN
агваанхүү,,ᠠᠭᠸᠠᠩᠬᠦᠦ,agwaNhuu
агваанцэрэн,,ᠠᠭᠸᠠᠩᠴᠡᠷᠢᠩ,agwaNceriN
агваанчүлтэм,,ᠠᠭᠸᠠᠩᠴᠦ᠋ᠯᠲᠢᠮ,agwaNcu1ltim
агдан,,ᠠᠭᠳᠠᠨ,agdan
агь,,ᠠᠭᠢ,agi
адилбаяр,,ᠠᠳᠠᠯᠢᠪᠠᠶᠠᠷ,adalibayar
адилцэцэг,,ᠠᠳᠠᠯᠢᠴᠡᠴᠡᠭ,adaliceceg
адишаа,,ᠠᠳᠢᠱᠠ,adixa
адуучин,,ᠠᠳᠤᠭᠤᠴᠢᠨ,advgvcin
адъяа,,ᠠᠳᠢᠶ᠎ᠠ,adiy-a
адъяабаяр,,ᠠᠳᠢᠶᠠᠪᠠᠶᠠᠷ,adiyabayar
адъяабилиг,,ᠠᠳᠢᠶᠠᠪᠢᠯᠢᠭ᠌,adiyabilig2
адъяабилэг,,ᠠᠳᠢᠶᠠᠪᠢᠯᠢᠭ᠌,adiyabilig2
адъяагэрэл,,ᠠᠳᠢᠶᠠᠭᠡᠷᠡᠯ,adiyagerel
адъяадорж,,ᠠᠳᠢᠶᠠᠳᠣᠷᠵᠢ,adiyadqrji
адъяазул,,ᠠᠳᠢᠶᠠᠵᠤᠯᠠ,adiyajvla
адъяасайхан,,ᠠᠳᠢᠶᠠᠰᠠᠢᠬᠠᠨ,adiyasaihan
адъяасүрэн,,ᠠᠳᠢᠶᠠᠰᠦ᠋ᠷᠦᠩ,adiyasu1ruN
адъяахүү,,ᠠᠳᠢᠶᠠᠬᠦᠦ,adiyahuu
адьшаа,,ᠠᠳᠢᠱᠠ,adixa
адьяа,,ᠠᠳᠢᠶ᠎ᠠ,adiy-a
адьяабаяр,,ᠠᠳᠢᠶᠠᠪᠠᠶᠠᠷ,adiyabayar
адьяабилиг,,ᠠᠳᠢᠶᠠᠪᠢᠯᠢᠭ᠌,adiyabilig2
адьяагэрэл,,ᠠᠳᠢᠶᠠᠭᠡᠷᠡᠯ,adiyagerel
адьяадорж,,ᠠᠳᠢᠶᠠᠳᠣᠷᠵᠢ,adiyadqrji
адьяажав,,ᠠᠳᠢᠶᠠᠵᠠᠪ,adiyajab
адьяазул,,ᠠᠳᠢᠶᠠᠵᠤᠯᠠ,adiyajvla
адьяасайхан,,ᠠᠳᠢᠶᠠᠰᠠᠢᠬᠠᠨ,adiyasaihan
адьяасамбуу,,ᠠᠳᠢᠶᠠᠰᠠᠮᠪᠤᠤ,adiyasambvv
адьяасүрэн,,ᠠᠳᠢᠶᠠᠰᠦ᠋ᠷᠦᠩ,adiyasu1ruN
адьяахүү,,ᠠᠳᠢᠶᠠᠬᠦᠦ,adiyahuu
адьяацэрэн,,ᠠᠳᠢᠶᠠᠴᠡᠷᠢᠩ,adiyaceriN
адьяацэцэг,,ᠠᠳᠢᠶᠠᠴᠡᠴᠡᠭ,adiyaceceg
ажаа,,ᠠᠵᠢᠶ᠎ᠠ,ajiy-a
ажай,,ᠠᠵᠠᠢ,ajai
ажиглалт,,ᠠᠵᠢᠭᠯᠠᠯᠲᠠ,ajiglalta
ажий,,ᠠᠵᠢ,aji
ажиймаа,,ᠠᠵᠢᠮ᠎ᠠ,ajim-a
ажил,,ᠠᠵᠢᠯ,ajil
ажирахгүй,,ᠠᠵᠢᠷᠠᠬᠤᠭᠦᠢ,ajirahvgui
ажнай,,ᠠᠵᠢᠨᠠᠢ,ajinai
ажрахгүй,,ᠠᠵᠢᠷᠠᠬᠤᠭᠦᠢ,ajirahvgui
аз,,ᠠᠵᠠ,aja
азай,,ᠠᠵᠠᠢ,ajai
азар,,ᠠᠵᠠᠷ,ajar
азбаяр,,ᠠᠵᠠᠪᠠᠶᠠᠷ,ajabayar
азбилиг,,ᠠᠵᠠᠪᠢᠯᠢᠭ᠌,ajabilig2
азбилэг,,ᠠᠵᠠᠪᠢᠯᠢᠭ᠌,ajabilig2
азбуян,,ᠠᠵᠠᠪᠤᠶᠠᠨ,ajabvyan
азгэрэл,,ᠠᠵᠠᠭᠡᠷᠡᠯ,ajagerel
аздэлгэр,,ᠠᠵᠠᠳᠡᠯᠭᠡᠷ,ajadelger
азжаргал,,ᠠᠵᠠᠵᠢᠷᠭᠠᠯ,ajajirgal
аззул,,ᠠᠵᠠᠵᠤᠯᠠ,ajajvla
азмөнх,,ᠠᠵᠠᠮᠥᠩᠬᠡ,ajamoNhe
азтай,,ᠠᠵᠠᠲᠠᠢ,ajatai
азтан,,ᠠᠵᠠᠲᠠᠨ,ajatan
азтүшиг,,ᠠᠵᠠᠲᠦ᠋ᠰᠢᠭ,ajatu1sig
азхишиг,,ᠠᠵᠠᠬᠡᠰᠢᠭ,ajahesig
айлдсан,,ᠠᠢᠯᠠᠳᠤᠭᠰᠠᠨ,ailadvgsan
айлтгүй,,ᠠᠶᠤᠯᠲᠠᠭᠦᠢ,ayvltagui
айраг,,ᠠᠢᠷᠠᠭ,airag
аким,,ᠠᠺᠢᠮ,akim
алагбаатар,,ᠠᠯᠠᠭᠪᠠᠭᠠᠲᠤᠷ,alagbagatvr
алагчулуун,,ᠠᠯᠠᠭᠴᠢᠯᠠᠭᠤᠨ,alagcilagvn
алаг‐эрдэнэ, ,ᠠᠯᠠᠭ ᠡᠷᠳᠡᠨᠢ,alag erdeni
алалтун,,ᠠᠯᠠᠯᠲᠤᠨ,alaltvn
алангуа,,ᠠᠯᠤᠨᠭᠣᠤ᠎ᠠ,alvngqv-a
алахуши,,ᠠᠯᠠᠬᠤᠰᠢ,alahvsi
албагүй, ,ᠠᠯᠪᠠ ᠦᠭᠡᠢ,alba ugei
албан,,ᠠᠯᠪᠠᠨ,alban
алдар,,ᠠᠯᠳᠠᠷ,aldar
алдаржав,,ᠠᠯᠳᠠᠷᠵᠠᠪ,aldarjab
алдармаа,,ᠠᠯᠳᠠᠷᠮ᠎ᠠ,aldarm-a
алдармөнх,,ᠠᠯᠳᠠᠷᠮᠥᠩᠬᠡ,aldarmoNhe
алдархаан,,ᠠᠯᠳᠠᠷᠬᠠᠭᠠᠨ,aldarhagan
алдахгүйбаатар,,ᠠᠯᠳᠠᠬᠤᠭᠦᠢᠪᠠᠭᠠᠲᠤᠷ,aldahvguibagatvr
алдрай,,ᠠᠯᠳᠠᠷᠠᠢ,aldarai
алдрайцэцэг,,ᠠᠯᠳᠠᠷᠠᠢᠴᠡᠴᠡᠭ,aldaraiceceg
александр,,ᠠᠯᠧᠺᠰᠠᠨᠳᠷ,alᠧksandr
алзахгүй,,ᠠᠯᠵᠠᠬᠤᠭᠦᠢ,aljahvgui
алзахгүйбаатар,,ᠠᠯᠵᠠᠬᠤᠭᠦᠢᠪᠠᠭᠠᠲᠤᠷ,aljahvguibagatvr
алиахүү,,ᠠᠯᠢᠶᠠᠬᠦᠦ,aliyahuu
алиацэнд,,ᠠᠯᠢᠶᠠᠴᠡᠩᠳᠦ,aliyaceNdu
алимаа,,ᠠᠯᠢᠮ᠎ᠠ,alim-a
алимантуяа,,ᠠᠯᠢᠮᠠᠨᠲᠤᠶᠠᠭ᠎ᠠ,alimantvyag-a
алмансар,,ᠠᠯᠮᠠᠩᠰᠠᠷᠠ,almaNsara
алмас,,ᠠᠯᠮᠠᠰ,almas
алтай,,ᠠᠯᠲᠠᠢ,altai
алтайбаяр,,ᠠᠯᠲᠠᠢᠪᠠᠶᠠᠷ,altaibayar
алтайсүрэн,,ᠠᠯᠲᠠᠢᠰᠦ᠋ᠷᠦᠩ,altaisu1ruN
алтан,,ᠠᠯᠲᠠᠨ,altan
алтанбагана,,ᠠᠯᠲᠠᠨᠪᠠᠭᠠᠨ᠎ᠠ,altanbagan-a
алтанболд,,ᠠᠯᠲᠠᠨᠪᠣᠯᠣᠳ,altanbqlqd
алтанбосго,,ᠠᠯᠲᠠᠨᠪᠣᠱᠣᠭ᠎ᠠ,altanbqxqg-a
алтанбулаг,,ᠠᠯᠲᠠᠨᠪᠤᠯᠠᠭ,altanbvlag
алтангагнуур,,ᠠᠯᠲᠠᠨᠭᠠᠩᠨᠠᠭᠤᠷ,altangaNnagvr
алтангадас,,ᠠᠯᠲᠠᠨᠭᠠᠳᠠᠰᠤ,altangadasv
алтанговь,,ᠠᠯᠲᠠᠨᠭᠣᠪᠢ,altangqbi
алтангоо,,ᠠᠯᠲᠠᠨᠭᠣᠤ᠎ᠠ,altangqv-a
алтангэрэл,,ᠠᠯᠲᠠᠨᠭᠡᠷᠡᠯ,altangerel
алтангүл,,ᠠᠯᠲᠠᠨᠭᠦᠯ,altangul
алтандөш,,ᠠᠯᠲᠠᠨᠳᠥᠰᠢ,altandosi
алтанжаргал,,ᠠᠯᠲᠠᠨᠵᠢᠷᠭᠠᠯ,altanjirgal
алтанжолоо,,ᠠᠯᠲᠠᠨᠵᠢᠯᠤᠭᠤ,altanjilvgv
алтанзагас,,ᠠᠯᠲᠠᠨᠵᠢᠭᠠᠰᠤ,altanjigasv
алтанзул,,ᠠᠯᠲᠠᠨᠵᠤᠯᠠ,altanjvla
алтаннавч,,ᠠᠯᠲᠠᠨᠨᠠᠪᠴᠢ,altannabci
алтаннамар,,ᠠᠯᠲᠠᠨᠨᠠᠮᠤᠷ,altannamvr
алтансондор,,ᠠᠯᠲᠠᠨᠰᠣᠨᠳᠣᠷ,altansqndqr
алтансор,,ᠠᠯᠲᠠᠨᠰᠣᠷ,altansqr
алтансувд,,ᠠᠯᠲᠠᠨᠰᠤᠪᠤᠳ,altansvbvd
алтансэлэм,,ᠠᠯᠲᠠᠨᠰᠡᠯᠡᠮ᠎ᠡ,altanselem-e
алтансүх,,ᠠᠯᠲᠠᠨᠰᠦ᠋ᠬᠡ,altansu1he
алтантал,,ᠠᠯᠲᠠᠨᠲᠠᠯ᠎ᠠ,altantal-a
алтантамир,,ᠠᠯᠲᠠᠨᠲᠠᠮᠢᠷ,altantamir
алтантариа,,ᠠᠯᠲᠠᠨᠲᠠᠷᠢᠶ᠎ᠠ,altantariy-a
алтантовч,,ᠠᠯᠲᠠᠨᠲᠣᠪᠴᠢ,altantqbci
алтантуяа,,ᠠᠯᠲᠠᠨᠲᠤᠶᠠᠭ᠎ᠠ,altantvyag-a
алтантүлхүүр,,ᠠᠯᠲᠠᠨᠲᠦ᠋ᠯᠬᠢᠭᠦᠷ,altantu1lhigur
алтантүрүү,,ᠠᠯᠲᠠᠨᠲᠦ᠋ᠷᠦᠭᠦᠦ,altantu1ruguu
алтантөгс,,ᠠᠯᠲᠠᠨᠲᠡᠭᠦᠰ,altantegus
алтанхайч,,ᠠᠯᠲᠠᠨᠬᠠᠢᠴᠢ,altanhaici
алтанхишиг,,ᠠᠯᠲᠠᠨᠬᠡᠰᠢᠭ,altanhesig
алтанхундага,,ᠠᠯᠲᠠᠨᠬᠤᠨᠳᠠᠭ᠎ᠠ,altanhvndag-a
алтанхуяг,,ᠠᠯᠲᠠᠨᠬᠤᠶᠠᠭ,altanhvyag
алтанцоож,,ᠠᠯᠲᠠᠨᠴᠣᠣᠵᠢ,altancqqji
алтанцэцэг,,ᠠᠯᠲᠠᠨᠴᠡᠴᠡᠭ,altanceceg
алтанчимэг,,ᠠᠯᠲᠠᠨᠴᠢᠮᠡᠭ,altancimeg
алтаншагай,,ᠠᠯᠲᠠᠨᠱᠠᠭ᠎ᠠ,altanxag-a
алтанширээ,,ᠠᠯᠲᠠᠨᠰᠢᠷᠡᠭᠡ,altansirege
алтаншоо,,ᠠᠯᠲᠠᠨᠱᠣ,altanxq
алтаншүр,,ᠠᠯᠲᠠᠨᠱᠢᠷᠦ,altanxiru
алтан‐утас, ,ᠠᠯᠲᠠᠨ ᠤᠲᠠᠰᠤ,altan vtasv
алтан‐эрдэнэ, ,ᠠᠯᠲᠠᠨ ᠡᠷᠳᠡᠨᠢ,altan erdeni
алтжин,,ᠠᠯᠲᠠᠵᠢᠨ,altajin
алунгоо,,ᠠᠯᠤᠩᠭᠣᠤ᠎ᠠ,alvNgqv-a
алунгуа,,ᠠᠯᠤᠩᠭᠣᠤ᠎ᠠ,alvNgqv-a
амар,,ᠠᠮᠤᠷ,amvr
амараа,,ᠠᠮᠤᠷ᠎ᠠ,amvr-a
амарбаяр,,ᠠᠮᠤᠷᠪᠠᠶᠠᠷ,amvrbayar
амарбаясгалан,,ᠠᠮᠤᠷᠪᠠᠶᠠᠰᠬᠤᠯᠠᠩ,amvrbayashvlaN
амардаваа,,ᠠᠮᠤᠷᠳᠠᠸᠠ,amvrdawa
амаржаргал,,ᠠᠮᠤᠷᠵᠢᠷᠭᠠᠯ,amvrjirgal
амаржин,,ᠠᠮᠤᠷᠵᠢᠨ,amvrjin
амарзаяа,,ᠠᠮᠤᠷᠵᠠᠶᠠᠭ᠎ᠠ,amvrjayag-a
амарлин,,ᠠᠮᠤᠷᠯᠢᠨ,amvrlin
амармэнд,,ᠠᠮᠤᠷᠮᠡᠨᠳᠦ,amvrmendu
амармөнх,,ᠠᠮᠤᠷᠮᠥᠩᠬᠡ,amvrmoNhe
